NO,PROVINSI,KOTA/KABUPATEN,ONGKIR / Juta (MEJA 9 FT)
,,Kab. Buton Selatan,"4 - 4,5 JT"
,,Kab. Buton Tengah,"4 - 4,5 JT"
,,Kab. Buton Utara,"4 - 4,5 JT"
,,Kab. Kolaka,"4 - 4,5 JT"
,,Kab. Kolaka Timur,"4 - 4,5 JT"
,,Kab. Kolaka Utara,"4 - 4,5 JT"
,,Kab. Konawe,"4 - 4,5 JT"
,,Kab. Konawe Kepulauan,"4 - 4,5 JT"
,,Kab. Konawe Selatan,"4 - 4,5 JT"
,,Kab. Konawe Utara,"4 - 4,5 JT"
,,Kab. Muna,"4 - 4,5 JT"
,,Kab. Muna Barat,"4 - 4,5 JT"
,,Kab. Wakatobi,"4 - 4,5 JT"
,,Kota Baubau,"4 - 4,5 JT"
,,Kota Kendari,"3,5 - 4 JT"
30,Sulawesi Selatan,Kab. Bantaeng,"3,5 - 4 JT"
,,Kab. Barru,"3,5 - 4 JT"
,,Kab. Bone,"3,5 - 4 JT"
,,Kab. Bulukumba,"3,5 - 4 JT"
,,Kab. Enrekang,"3,5 - 4 JT"
,,Kab. Gowa,"3,5 - 4 JT"
,,Kab. Jeneponto,"3,5 - 4 JT"
,,Kab. Kepulauan Selayar,"3,5 - 4 JT"
,,Kab. Luwu,"3,5 - 4 JT"
,,Kab. Luwu Timur,"3,5 - 4 JT"
,,Kab. Luwu Utara,"3,5 - 4 JT"
,,Kab. Pangkajene dan Kepulauan,"3,5 - 4 JT"
,,Kab. Pinrang,"3,5 - 4 JT"
,,Kab. Sidenreng Rappang,"3,5 - 4 JT"
,,Kab. Sinjai,"3,5 - 4 JT"
,,Kab. Soppeng,"3,5 - 4 JT"
,,Kab. Takalar,"3,5 - 4 JT"
,,Kab. Tana Toraja,"3,5 - 4 JT"
,,Kab. Toraja Utara,"3,5 - 4 JT"
,,Kab. Wajo,"3,5 - 4 JT"
,,Kota Makassar,"3,5 - 4 JT"
,,Kota Palopo,"3,5 - 4 JT"
,,Kota Parepare,"3,5 - 4 JT"
31,Maluku Utara,Kab. Halmahera Barat,"4 - 4,5 JT"
,,Kab. Halmahera Selatan,"4 - 4,5 JT"
,,Kab. Halmahera Tengah,"4 - 4,5 JT"
,,Kab. Kepulauan Sula,"4 - 4,5 JT"
,,Kab. Pulau Morotai,"4 - 4,5 JT"
,,Kab. Pulau Taliabu,"4 - 4,5 JT"
,,Kota Ternate,"4 - 4,5 JT"
,,Kota Tidore Kepulauan,"4 - 4,5 JT"
32,Maluku,Kab. Buru,"4 - 4,5 JT"
,,Kab. Buru Selatan,"4 - 4,5 JT"
,,Kab. Kepulauan Aru,"4 - 4,5 JT"
,,Kab. Kepulauan Tanimbar,"4 - 4,5 JT"
,,Kab. Maluku Barat Daya,"4 - 4,5 JT"
,,Kab. Maluku Tengah,"4 - 4,5 JT"
,,Kab. Maluku Tenggara,"4 - 4,5 JT"
,,Kab. Seram Bagian Barat,"4 - 4,5 JT"
,,Kab. Seram Bagian Timur,"4 - 4,5 JT"
,,Kota Ambon,"4 - 4,5 JT"
,,Kota Tual,"4 - 4,5 JT"
33,Papua Barat,Kab. Kaimana,"4,5 - 5 JT"
,,Kab. Manokwari,"4,5 - 5 JT"
,,Kab. Manokwari Selatan,"4,5 - 5 JT"
,,Kab. Pegunungan Arfak,"4,5 - 5 JT"
,,Kab. Teluk Bintuni,"4,5 - 5 JT"
,,Kab. Teluk Wondama,"4,5 - 5 JT"
34,Papua,Kab. Biak Numfor,"4,5 - 5 JT"
,,Kab. Jayapura,"4,5 - 5 JT"
,,Kab. Keerom,"4,5 - 5 JT"
,,Kab. Kepulauan Yapen,"4,5 - 5 JT"
,,Kab. Mamberamo Raya,"4,5 - 5 JT"
,,Kab. Nabire,"4,5 - 5 JT"
,,Kab. Sarmi,"4,5 - 5 JT"
,,Kab. Waropen,"4,5 - 5 JT"
,,Kota Jayapura,"4,5 - 5 JT"
35,Papua Tengah,Kab. Dogiyai,"4,5 - 5 JT"
,,Kab. Intan Jaya,"4,5 - 5 JT"
,,Kab. Jayawijaya,"4,5 - 5 JT"
,,Kab. Mimika,"4,5 - 5 JT"
,,Kab. Paniai,"4,5 - 5 JT"
,,Kab. Puncak,"4,5 - 5 JT"
36,Papua Pegunungan,Kab. Lanny Jaya,"4,5 - 5 JT"
,,Kab. Mamberamo Tengah,"4,5 - 5 JT"
,,Kab. Nduga,"4,5 - 5 JT"
,,Kab. Pegunungan Bintang,"4,5 - 5 JT"
,,Kab. Tolikara,"4,5 - 5 JT"
,,Kab. Yahukimo,"4,5 - 5 JT"
37,Papua Selatan,Kab. Asmat,"4,5 - 5 JT"
,,Kab. Boven Digoel,"4,5 - 5 JT"
,,Kab. Mappi,"4,5 - 5 JT"
38,Papua Barat Daya,Kab. Maybrat,"4,5 - 5 JT"
,,Kab. Raja Ampat,"4,5 - 5 JT"
,,Kab. Sorong,"4,5 - 5 JT"
,,Kab. Sorong Selatan,"4,5 - 5 JT"
,,Kab. Tambrauw,"4,5 - 5 JT"
,,Kota Sorong,"4,5 - 5 JT"
